cat_id ra dec g_Swope_flux g_Swope_fluxerr g_PS gerr_PS r_PS rerr_PS i_PS ierr_PS
0.0 323.153606 0.242677 2061.272 37.717237576993 19.0817 0.0055 17.9895 0.0043 17.4878 0.0053
0.0 323.138732 0.244332 2701.964 33.548226231112 18.7629 0.0062 18.3368 0.0057 18.169 0.0057
0.0 323.118286 0.245888 3100.96 29.543892365277 18.6656 0.0058 18.2401 0.009 18.1112 0.0035
0.0 323.101157 0.249099 14709.968 48.222199761182 16.9094 0.0028 16.2394 0.0044 15.9802 0.0023
0.0 323.000612 0.249994 5336.305 33.763155895475 17.985 0.0059 16.8415 0.0036 16.2643 0.0019
0.0 322.996909 0.252641 4008.185 55.729984586746 18.3033 0.0069 17.5525 0.0039 17.2212 0.0025
0.0 323.108458 0.25362 7856.01 32.356784439813 17.5915 0.006 16.9976 0.0058 16.7997 0.0019
0.0 323.129554 0.252801 2042.215 36.830201165584 19.0588 0.0048 18.4608 0.0056 18.2521 0.004
0.0 323.001995 0.253542 3532.193 31.752300161138 18.4793 0.0057 17.96 0.0051 17.7688 0.0042
0.0 323.139572 0.255402 25501.14 32.015731822346 16.3054 0.0035 15.4301 0.0045 15.0911 0.0016
0.0 323.0425 0.254413 1786.728 29.83374510557 19.2467 0.0201 19.0282 0.0093 18.9428 0.0072
0.0 323.011096 0.255594 3582.424 43.298527689689 18.5062 0.0118 18.0006 0.0029 17.8226 0.0052
0.0 323.007967 0.255633 4202.666 30.776103691375 18.2527 0.0054 17.6624 0.005 17.4556 0.0034
0.0 323.089873 0.257506 1618.19 29.676868205809 19.4497 0.0195 18.9761 0.0052 18.8022 0.0054
0.0 323.039485 0.262312 19384.461 46.849252138899 16.6183 0.0035 16.056 0.0024 15.83 0.0017
0.0 323.161878 0.263367 5663.544 31.287250711524 17.9696 0.0046 17.3094 0.0048 17.0262 0.0044
0.0 323.077092 0.264281 14740.977 29.531019146647 16.8781 0.0055 15.6644 0.0046 14.908 0.0034
0.0 323.130165 0.265019 8870.369 32.81999867698 17.4288 0.0079 16.4119 0.0015 15.89 0.0022
0.0 322.942853 0.268406 36954.812 29.927665954971 15.9198 0.0025 15.4216 0.0011 15.2718 0.0026
0.0 323.051992 0.270748 124571.108 34.308047837576 14.6373 0.0064 14.3092 0.0009 14.2224 0.0039
0.0 323.058392 0.273898 66754.694 81.915317518175 15.3208 0.005 14.9233 0.0019 14.7917 0.0028
0.0 323.094126 0.271974 6959.753 39.326312846038 17.693 0.0055 16.6584 0.0037 16.182 0.002
0.0 323.027846 0.271225 1708.226 30.303926646512 19.2678 0.0083 18.6941 0.0071 18.466 0.0057
0.0 323.120913 0.272802 11726.488 31.178399183946 17.1678 0.0043 16.7042 0.0028 16.5287 0.0029
0.0 322.957994 0.276621 10299.052 32.205106434621 17.3271 0.0076 17.0049 0.0064 16.885 0.0037
0.0 323.139802 0.27935 40239.501 58.213725940725 15.8401 0.0037 15.3504 0.0028 15.1868 0.0014
0.0 323.058249 0.283961 8538.033 54.354863048095 17.5203 0.0059 16.7955 0.0034 16.5231 0.002
0.0 322.937824 0.284077 3723.422 30.688199901926 18.3946 0.0086 17.878 0.004 17.654 0.0022
0.0 323.165885 0.287433 4573.37 34.064233548269 18.2307 0.0056 17.8222 0.0049 17.6525 0.0023
0.0 323.043938 0.290933 108863.547 30.378737395317 14.7623 0.0062 14.2098 0.0013 14.0171 0.0053
0.0 323.106334 0.297246 4817.423 32.4846945443 18.1213 0.0125 17.5716 0.0056 17.3661 0.0026
0.0 323.173072 0.298648 9682.547 34.35688921174 17.3699 0.0041 16.6124 0.0032 16.3353 0.002
0.0 323.101955 0.299849 3840.026 50.55755445885 18.3634 0.0041 17.4731 0.0052 17.095 0.0036
0.0 323.000145 0.303635 4575.169 33.286970401522 18.2362 0.0078 17.7994 0.0043 17.6359 0.0028
0.0 323.104311 0.304296 17490.996 34.270911382886 16.7591 0.0067 16.3741 0.005 16.2429 0.0026
0.0 322.977218 0.307327 60893.385 38.042043167894 15.4048 0.0034 15.0085 0.001 14.8706 0.0025
0.0 323.115074 0.308714 3564.83 28.358183209617 18.4189 0.0173 18.0178 0.0071 17.8724 0.0033
0.0 323.092823 0.313355 3091.192 26.760363958061 18.5058 0.0072 17.2673 0.0026 16.4452 0.0031
0.0 322.963283 0.316303 13649.492 34.625541066194 17.0476 0.0049 16.6996 0.0048 16.5619 0.0029
0.0 323.117211 0.316948 2177.956 37.803769456396 18.9891 0.0084 18.5453 0.005 18.3798 0.0047
0.0 323.007612 0.319684 5200.379 32.240207482537 18.0109 0.0074 17.4419 0.0075 17.1882 0.0027
0.0 323.066462 0.319322 3831.818 37.6208714238 18.3605 0.0041 17.9512 0.0051 17.7686 0.0044
0.0 323.068187 0.3202 7669.057 61.967572976994 17.626 0.0035 17.1538 0.0046 16.9976 0.0022
0.0 323.081823 0.322266 2813.951 37.063042975542 18.74 0.0075 18.2402 0.0043 18.0392 0.0059
0.0 323.172131 0.323822 6418.941 32.608873206864 17.8411 0.0053 17.3862 0.0042 17.2184 0.0022
0.0 323.10857 0.325367 34879.057 80.311603009079 15.941 0.0029 15.0883 0.0008 14.7741 0.0027
0.0 323.041736 0.324443 2909.483 48.236882786877 18.6955 0.0086 18.3397 0.0051 18.2314 0.0029
0.0 323.074597 0.328891 7869.917 34.058526034236 17.5857 0.0022 17.225 0.0022 17.0986 0.0033
0.0 323.145333 0.332309 66608.037 47.471790211522 15.3069 0.0015 14.9305 0.0022 14.8112 0.0008
0.0 323.085499 0.332279 51598.154 76.193680521659 15.5444 0.0038 15.0652 0.0025 14.8873 0.0015
0.0 323.01125 0.334868 6073.579 34.116506498529 17.849 0.0097 17.3713 0.0031 17.1825 0.0028
0.0 322.986194 0.337906 10883.903 74.388393415188 17.2489 0.0038 16.6935 0.0041 16.4894 0.0045
0.0 323.104143 0.338904 3083.028 31.379915499916 18.5152 0.006 17.2757 0.0028 16.5057 0.0021
0.0 322.961752 0.341796 10751.908 30.359854203681 17.2239 0.0034 16.4606 0.0036 16.1704 0.0025
0.0 322.979037 0.343948 8270.365 37.500107388462 17.555 0.0037 17.0231 0.0033 16.8308 0.0028
0.0 323.07376 0.346473 24737.096 45.719564570734 16.3599 0.0037 16.0434 0.002 15.9382 0.0016
0.0 323.08392 0.347014 17065.938 29.71886282964 16.7397 0.0038 16.3036 0.003 16.1264 0.0028
0.0 323.126986 0.346542 4291.05 30.527788249246 18.2648 0.0073 17.6946 0.0053 17.4457 0.0027
0.0 323.080901 0.347069 3880.101 43.801682510154 18.3348 0.0097 17.934 0.0057 17.7865 0.0041
0.0 323.056951 0.350767 3447.042 32.821163210366 18.4416 0.0065 17.4431 0.0022 17.0307 0.0033
0.0 323.049741 0.354252 15659.426 34.646202315847 16.8009 0.0071 16.0594 0.0041 15.7835 0.0018
0.0 323.079813 0.357828 19543.888 42.657917927282 16.5688 0.0022 15.9673 0.0021 15.7761 0.0018
0.0 323.135471 0.35732 3360.172 56.663485594425 18.5189 0.0058 18.0247 0.0046 17.8367 0.0034
0.0 323.093525 0.358531 6646.883 33.019720674197 17.7867 0.0041 17.4336 0.0041 17.306 0.0013
0.0 323.101033 0.363722 102993.07 28.95648086774 14.8019 0.0016 14.3058 0.0049 14.1546 0.0022
0.0 323.088962 0.363857 6178.636 48.745363979821 17.8598 0.0069 17.2257 0.0018 16.9805 0.0036
