cat_id ra dec r_Swope_flux r_Swope_fluxerr g_PS gerr_PS r_PS rerr_PS i_PS ierr_PS
0.0 88.114482 15.793792 1571.018 1.0 19.5177 0.0095 18.4938 0.0048 18.0533 0.0058
0.0 88.192575 15.796142 37344.918 1.0 15.3703 0.0019 15.033 0.0041 14.9033 0.0032
0.0 88.118495 15.795077 5925.581 1.0 17.8163 0.0063 17.0053 0.0041 16.634 0.01
0.0 88.224544 15.79459 1806.351 1.0 18.9492 0.0102 18.2096 0.004 17.8933 0.0056
0.0 88.083252 15.796845 15965.364 1.0 16.3267 0.0028 15.9275 0.0019 15.7698 0.0061
0.0 88.175303 15.79574 6587.35 1.0 17.3227 0.002 16.8562 0.0025 16.6465 0.0061
0.0 88.006761 15.796331 6286.809 1.0 17.3082 0.0065 16.8206 0.0017 16.6147 0.0027
0.0 88.072808 15.794648 375.468 1.0 20.6935 0.0415 19.7986 0.0156 19.3663 0.0069
0.0 88.081875 15.795503 1197.531 1.0 19.3634 0.0121 18.7097 0.0034 18.4076 0.0056
0.0 88.207297 15.795817 718.229 1.0 20.6072 0.0212 19.3458 0.0074 18.7231 0.0076
0.0 88.146486 15.796372 842.082 1.0 20.4937 0.0292 19.2125 0.0071 18.0181 0.0047
0.0 88.252955 15.79737 5789.923 1.0 17.2198 0.0114 16.9098 0.0082 16.811 0.0051
0.0 88.23752 15.796606 734.955 1.0 20.1881 0.018 19.2359 0.0083 18.8442 0.0027
0.0 88.169239 15.79715 2766.359 1.0 18.3759 0.006 17.8286 0.0031 17.5846 0.0059
0.0 88.249165 15.797155 2539.39 1.0 19.0839 0.0101 17.8553 0.0038 17.2637 0.0019
0.0 88.18953 15.79834 5536.75 1.0 17.8316 0.0023 17.0498 0.0022 16.7012 0.0061
0.0 88.151652 15.797432 2032.676 1.0 18.9565 0.0055 18.1803 0.0053 17.8704 0.0062
0.0 88.159802 15.797433 1144.423 1.0 19.4491 0.006 18.8274 0.0075 18.5428 0.0074
0.0 88.206374 15.798461 4408.773 1.0 17.745 0.0032 17.3184 0.0017 17.1311 0.004
0.0 88.151674 15.7993 18472.961 1.0 16.3628 0.0032 15.7919 0.0013 15.5322 0.0052
0.0 88.120868 15.798401 5772.257 1.0 17.5162 0.0068 17.0468 0.0024 16.8224 0.0072
0.0 88.071709 15.798079 2610.5 1.0 18.37 0.0026 17.9024 0.0045 17.7102 0.0059
0.0 88.126072 15.79809 1869.898 1.0 19.1488 0.0129 18.2263 0.0034 17.8151 0.0069
0.0 88.129959 15.799759 10462.87 1.0 16.7816 0.0048 16.4067 0.0026 16.2437 0.0056
0.0 88.123748 15.798465 1290.589 1.0 19.1122 0.0103 18.6093 0.0061 18.3483 0.0027
0.0 88.096908 15.800633 12981.225 1.0 16.5402 0.0039 16.1339 0.002 15.9822 0.009
0.0 88.241369 15.799508 1390.854 1.0 19.7881 0.0099 18.5083 0.0045 17.9302 0.0038
0.0 88.04391 15.800811 10399.931 1.0 16.8651 0.0023 16.3223 0.0024 16.0959 0.0029
0.0 88.160145 15.800221 849.496 1.0 19.6436 0.0252 19.1132 0.0063 18.8881 0.0124
0.0 88.090143 15.800026 793.606 1.0 19.7362 0.0201 19.142 0.0066 18.859 0.0152
0.0 88.109279 15.800899 574.75 1.0 20.1605 0.0201 19.4876 0.0108 19.2096 0.0102
0.0 88.102165 15.802688 14977.708 1.0 16.4474 0.0066 16.0005 0.0021 15.8 0.0042
0.0 88.243451 15.801381 830.303 1.0 19.9017 0.0085 19.1117 0.009 18.758 0.0102
0.0 88.171517 15.803 8448.639 1.0 17.2451 0.0054 16.622 0.0061 16.3509 0.0041
0.0 88.238869 15.802911 5822.646 1.0 17.321 0.0015 17.0103 0.0021 16.8753 0.0021
0.0 88.10307 15.805322 75189.505 1.0 14.6626 0.0064 14.2452 0.0015 14.0803 0.0037
0.0 88.207783 15.802319 2100.926 1.0 19.3289 0.0032 18.1433 0.0037 17.5513 0.0025
0.0 88.04022 15.803059 7148.152 1.0 17.2516 0.004 16.7203 0.0024 16.5111 0.0072
0.0 88.241123 15.802297 1820.262 1.0 19.3827 0.007 18.2702 0.0038 17.7365 0.0074
0.0 88.057016 15.801871 410.029 1.0 20.2622 0.0152 19.7646 0.0142 19.5146 0.0144
0.0 88.024908 15.80588 76339.695 1.0 14.6102 0.0028 14.168 0.0035 14.0004 0.0032
0.0 88.031228 15.803691 4690.55 1.0 18.0538 0.0044 17.1682 0.0027 16.7816 0.0021
0.0 88.249628 15.803484 5045.418 1.0 17.9374 0.011 17.2009 0.0031 16.8762 0.005
0.0 88.226062 15.803941 6965.276 1.0 17.2359 0.0041 16.8044 0.0021 16.6053 0.0033
0.0 88.167378 15.803478 2263.932 1.0 18.8069 0.0091 18.0481 0.0037 17.7273 0.0089
0.0 88.13667 15.80483 16349.272 1.0 16.5592 0.003 15.9323 0.0017 15.6798 0.0046
0.0 88.165142 15.804582 3210.997 1.0 18.1059 0.0083 17.6841 0.0045 17.5026 0.0086
0.0 88.17717 15.805905 26150.97 1.0 15.8519 0.0032 15.3871 0.0025 15.1957 0.0012
0.0 88.033554 15.804733 1651.625 1.0 18.7198 0.0116 18.2637 0.0059 18.0455 0.0027
0.0 88.087897 15.804707 1385.556 1.0 19.2487 0.0048 18.5501 0.0043 18.2305 0.0129
0.0 88.25271 15.809673 103899.641 1.0 14.2141 0.0027 13.8707 0.0007 13.7839 0.001
0.0 88.129657 15.8082 47690.691 1.0 15.3081 0.0029 14.757 0.0027 14.5229 0.0031
0.0 88.208217 15.806767 6372.962 1.0 17.4016 0.0052 16.9151 0.0022 16.7063 0.0072
0.0 88.190029 15.806206 1247.539 1.0 19.5442 0.0173 18.7315 0.0071 18.3936 0.0173
0.0 88.167105 15.805976 1058.008 1.0 19.2858 0.0138 18.8303 0.0055 18.647 0.0141
0.0 88.14343 15.806866 2434.873 1.0 18.5528 0.0084 17.9716 0.0031 17.709 0.0067
0.0 88.099973 15.807231 3327.066 1.0 18.13 0.0116 17.6126 0.0023 17.3661 0.0052
0.0 88.097866 15.80853 18195.557 1.0 16.2616 0.0034 15.7757 0.0016 15.5649 0.0067
0.0 88.006291 15.807468 2863.306 1.0 18.1587 0.0033 17.716 0.0027 17.5169 0.0083
0.0 88.242796 15.807433 2265.928 1.0 18.6798 0.0139 18.0542 0.0039 17.7785 0.0036
0.0 88.008113 15.808799 19219.776 1.0 16.0534 0.0025 15.6346 0.0011 15.4683 0.003
0.0 88.23875 15.807093 853.117 1.0 19.7897 0.0055 19.1743 0.0071 18.8927 0.0042
0.0 88.016471 15.808856 9215.819 1.0 17.1813 0.0048 16.4622 0.0024 16.1518 0.0038
0.0 88.171781 15.807721 1643.931 1.0 19.0345 0.0057 18.3869 0.0051 18.1229 0.0047
0.0 88.157635 15.808171 3602.77 1.0 18.1311 0.0091 17.5613 0.003 17.2958 0.0055
0.0 88.067402 15.80849 2914.465 1.0 18.298 0.0102 17.7991 0.0034 17.5538 0.001
